Date,Close,High,Low,Open,Volume
6/9/2021,37345.12109,37537.37109,32475.86523,33416.97656,53972919008
6/10/2021,36702.59766,38334.32422,35847.59375,37389.51563,43576032854
6/11/2021,37334.39844,37608.69531,36044.44922,36697.03125,38699736985
6/12/2021,35552.51563,37408.92578,34728.19141,37340.14453,37924228550
6/13/2021,39097.85938,39322.78125,34864.10938,35555.78906,40669112838
6/14/2021,40218.47656,40978.36328,38757.28516,39016.96875,43148914673
6/15/2021,40406.26953,41295.26953,39609.46875,40427.16797,46420149185
6/16/2021,38347.0625,40516.77734,38176.03516,40168.69141,39211635100
6/17/2021,38053.50391,39513.67188,37439.67578,38341.42188,37096670047
6/18/2021,35787.24609,38187.26172,35255.85547,38099.47656,36200887275
6/19/2021,35615.87109,36457.79688,34933.0625,35854.52734,31207279719
6/20/2021,35698.29688,36059.48438,33432.07422,35563.14063,36664034054
6/21/2021,31676.69336,35721.64063,31295.93555,35641.14453,52809038594
6/22/2021,32505.66016,33292.45313,28893.62109,31622.37695,58964353058
6/23/2021,33723.02734,34753.41016,31772.63281,32515.71484,46317108925
6/24/2021,34662.4375,35228.85156,32385.21484,33682.80078,33123368116
6/25/2021,31637.7793,35487.24609,31350.88477,34659.10547,40230904226
6/26/2021,32186.27734,32637.58789,30184.50195,31594.66406,38585385521
6/27/2021,34649.64453,34656.12891,32071.75781,32287.52344,35511640894
6/28/2021,34434.33594,35219.89063,33902.07422,34679.12109,33892523752
6/29/2021,35867.77734,36542.10938,34252.48438,34475.55859,37901460044
6/30/2021,35040.83594,36074.75781,34086.15234,35908.38672,34059036099
7/1/2021,33572.11719,35035.98438,32883.78125,35035.98438,37838957079
7/2/2021,33897.04688,33939.58984,32770.67969,33549.60156,38728974942
7/3/2021,34668.54688,34909.26172,33402.69531,33854.42188,24383958643
7/4/2021,35287.78125,35937.56641,34396.47656,34665.56641,24924307911
7/5/2021,33746.00391,35284.34375,33213.66016,35284.34375,26721554282
7/6/2021,34235.19531,35038.53516,33599.91797,33723.50781,26501259870
7/7/2021,33855.32813,34997.66406,33839.28906,34225.67969,24796027477
7/8/2021,32877.37109,33907.90625,32133.18359,33889.60547,29910396946
7/9/2021,33798.01172,34042.29297,32318.88086,32861.67188,27436021028
7/10/2021,33520.51953,34209.07031,33116.01172,33811.24219,22971873468
7/11/2021,34240.1875,34584.70313,33346.73828,33509.07813,20108729370
7/12/2021,33155.84766,34592.15625,32697.30859,34254.01563,24321499537
7/13/2021,32702.02539,33327.10156,32261.41992,33125.46875,19120856669
7/14/2021,32822.34766,33061.39844,31639.125,32723.8457,21376531210
7/15/2021,31780.73047,33159.64063,31175.70898,32827.875,21300524237
7/16/2021,31421.53906,32218.40625,31100.67383,31841.55078,23699476918
7/17/2021,31533.06836,31935.94531,31223.99023,31397.30859,18895018942
7/18/2021,31796.81055,32398.99609,31215.49219,31533.88477,18787986667
7/19/2021,30817.83203,31885.85938,30563.73438,31800.01172,20434789545
7/20/2021,29807.34766,31006.1875,29360.95508,30838.28516,23148267245
7/21/2021,32110.69336,32752.32617,29526.18359,29796.28516,28203024559
7/22/2021,32313.10547,32576.40039,31745.29883,32138.87305,19555230518
7/23/2021,33581.55078,33581.55078,32057.89258,32305.95898,22552046192
7/24/2021,34292.44531,34490.39063,33424.85938,33593.73047,21664706865
7/25/2021,35350.1875,35364.92578,33881.83594,34290.29297,20856685287
7/26/2021,37337.53516,40499.67578,35287.3125,35384.03125,51022126212
7/27/2021,39406.94141,39406.94141,36441.72656,37276.03516,35097370560
7/28/2021,39995.90625,40816.07031,38862.4375,39503.1875,38702404695
7/29/2021,40008.42188,40593.07031,39352.05859,39995.45313,27167146027
7/30/2021,42235.54688,42235.54688,38397.35547,40027.48438,33072782960
7/31/2021,41626.19531,42231.44922,41110.83203,42196.30469,25802845343
8/1/2021,39974.89453,42541.67969,39540.94141,41460.84375,26688438115
8/2/2021,39201.94531,40419.17969,38746.34766,39907.26172,25595265436
8/3/2021,38152.98047,39750.03125,37782.05078,39178.40234,26189830450
8/4/2021,39747.50391,39952.29688,37589.16406,38213.33203,25372562724
8/5/2021,40869.55469,41341.93359,37458.00391,39744.51563,35185031017
8/6/2021,42816.5,43271.66016,39932.17969,40865.86719,38226483046
8/7/2021,44555.80078,44689.85938,42618.56641,42832.79688,40030862141
8/8/2021,43798.11719,45282.35156,43331.91016,44574.4375,36302664750
8/9/2021,46365.40234,46456.83203,42848.6875,43791.92578,38734079049
8/10/2021,45585.03125,46637.98828,44705.55469,46280.84766,33546019517
8/11/2021,45593.63672,46735.63281,45351.71094,45599.70313,34319709073
8/12/2021,44428.28906,46228.91016,43861.44531,45576.87891,33723620826
8/13/2021,47793.32031,47831.97656,44282.41797,44439.69141,31744259539
8/14/2021,47096.94531,48098.68359,46177.63281,47810.6875,31211354442
8/15/2021,47047.00391,47357.10547,45579.58984,47096.66797,30988958446
8/16/2021,46004.48438,47998.09766,45700.32031,47019.96094,32776876610
8/17/2021,44695.35938,47139.57031,44512.41797,45936.45703,33451362600
8/18/2021,44801.1875,45952.0625,44364.02734,44686.75,32194123075
8/19/2021,46717.57813,46970.76172,43998.31641,44741.88281,37204312299
8/20/2021,49339.17578,49342.15234,46650.70703,46723.12109,34706867452
8/21/2021,48905.49219,49717.01953,48312.19922,49327.07422,40585205312
8/22/2021,49321.65234,49471.60938,48199.94141,48869.10547,25370975378
8/23/2021,49546.14844,50482.07813,49074.60547,49291.67578,34305053719
8/24/2021,47706.11719,49878.76953,47687.11719,49562.34766,35361168834
8/25/2021,48960.78906,49202.87891,47163.61328,47727.25781,32646349931
8/26/2021,46942.21875,49347.58203,46405.78125,49002.64063,32666549568
8/27/2021,49058.66797,49112.78516,46394.28125,46894.55469,34511076995
8/28/2021,48902.40234,49283.50391,48499.23828,49072.58594,28568103401
