date,CLOSE,HIGH,LOW,OPEN,VOLUME
5/29/2021,1.000241041,1.002074003,0.999804974,1.00079596,414042058
5/30/2021,1.000437975,1.001471996,0.999580026,1.000524998,369573069
5/31/2021,1.001446962,1.00286901,0.999638021,1.000532031,374771888
6/1/2021,1.001204967,1.003026009,1.000066042,1.00168705,364668878
6/2/2021,1.001387954,1.002321959,1.000735044,1.001250982,328895297
6/3/2021,1.001582026,1.002812982,1.000834942,1.001433015,409446273
6/4/2021,1.001273036,1.002388954,1.000630021,1.001672029,481421472
6/5/2021,1.001037002,1.002524018,0.999756992,1.001137018,300422493
6/6/2021,1.001932025,1.002282023,1.000424981,1.000848055,235689087
6/7/2021,1.001248956,1.002346992,1.000151992,1.001996994,327524797
6/8/2021,1.001361966,1.002359033,1.000007033,1.00119698,474148514
6/9/2021,1.001103044,1.002593994,1.000357032,1.001374006,394037000
6/10/2021,1.00128603,1.002774954,1.000648022,1.001163006,335628518
6/11/2021,1.001335025,1.002323031,0.999141991,1.001276016,301631289
6/12/2021,1.001713991,1.002589941,1.000002027,1.001641989,280732916
6/13/2021,1.001129031,1.002864003,1.000426054,1.001777053,270969903
6/14/2021,1.001338959,1.002207041,1.00030899,1.001165032,242301146
6/15/2021,1.00127697,1.011361003,0.999933004,1.001027942,286555901
6/16/2021,1.000560045,1.001961946,0.999119997,1.001021981,364257414
6/17/2021,1.001500964,1.00197804,1.000197053,1.000588059,286060450
6/18/2021,1.002436996,1.002944946,1.00011301,1.00148201,381114476
6/19/2021,1.001711965,1.002874017,1.000476003,1.002521038,251048495
6/20/2021,1.002035022,1.004320025,1.000362039,1.001431942,339455930
6/21/2021,1.001173973,1.004019976,1.000566006,1.001921058,607962270
6/22/2021,1.001610994,1.003316998,1.000576973,1.001134038,671381877
6/23/2021,1.001306057,1.003115058,1.000367045,1.001610994,424147508
6/24/2021,1.000630975,1.002210975,1.000126004,1.001363993,282431450
6/25/2021,1.000602961,1.001588941,0.998283982,1.000722051,336682045
6/26/2021,1.003003955,1.003003955,0.999264002,1.000519991,303692070
6/27/2021,1.002501011,1.003605008,1.00038898,1.00307405,295963346
6/28/2021,1.000638962,1.002554059,1.000139952,1.002516031,324136454
6/29/2021,1.001199961,1.001791954,1.000463963,1.000470042,286175950
6/30/2021,1.001505971,1.00188303,0.999674976,1.000872016,355237053
7/1/2021,1.000326991,1.001613975,0.999737024,1.001459956,341979411
7/2/2021,1.00127399,1.001721025,0.999122024,1.000422955,277395241
7/3/2021,1.001029015,1.002200007,1.000211954,1.001188993,278626999
7/4/2021,1.00059104,1.001521945,0.999795973,1.000969052,224706857
7/5/2021,1.001194954,1.002190948,0.998966992,1.000754952,260818209
7/6/2021,1.000658035,1.002058983,0.997067988,1.000913978,368144762
7/7/2021,1.000357985,1.001065016,0.999615014,1.000641942,317225178
7/8/2021,1.000015974,1.001428962,0.998790979,1.000545025,359003866
7/9/2021,1.000152946,1.001245975,0.99891597,1.000041008,321166645
7/10/2021,1.000010967,1.001206994,0.999171972,0.999907017,305632379
7/11/2021,1.000651956,1.002063036,0.999909997,1.000056982,224381459
7/12/2021,1.000491977,1.001144052,0.998995006,1.000641942,331897616
7/13/2021,1.000566006,1.001600981,0.999687016,1.000509024,364546707
7/14/2021,1.001324058,1.002444983,0.999235988,1.000478029,331960811
7/15/2021,1.000790954,1.002148032,0.999571979,1.001250982,389074377
7/16/2021,1.000388026,1.002606988,0.999665976,1.001049042,319899060
7/17/2021,1.001119971,1.001992941,0.999938011,1.000337005,263565112
7/18/2021,1.00118506,1.002488017,1.000563979,1.001127005,251878244
7/19/2021,1.00039196,1.001816034,1.000071049,1.001152992,297176018
7/20/2021,1.001170993,1.001958966,1.000130057,1.00039506,493641706
7/21/2021,1.001528978,1.003563046,1.000347018,1.001067042,420772464
7/22/2021,1.002082944,1.002522945,1.000064969,1.001868963,335913082
7/23/2021,1.001688957,1.002563,1.000265956,1.002055049,293916114
7/24/2021,1.001410961,1.002766967,1.000519037,1.001726985,296525646
7/25/2021,1.001345992,1.00169301,0.999472976,1.001489997,262761749
7/26/2021,1.00069797,1.006654024,0.999778986,1.001417041,617980199
7/27/2021,1.002040982,1.00246799,0.999774992,1.000534058,462815122
7/28/2021,1.000982046,1.002874017,1.000215054,1.002089024,440813089
7/29/2021,1.001404047,1.002120018,1.000424027,1.000921965,402778737
7/30/2021,1.001834035,1.002365947,1.000427961,1.001299024,439787815
7/31/2021,1.001173019,1.00196898,1.000498056,1.001875997,376540061
8/1/2021,1.000941038,1.002527952,0.999554992,1.001005054,423059360
8/2/2021,1.001420975,1.002390027,0.999705017,1.00067997,415095659
8/3/2021,1.000630021,1.001726985,0.999885023,1.001438975,411090049
8/4/2021,1.000633955,1.001901984,0.999890983,1.000628948,499090741
8/5/2021,1.000350952,1.002107978,0.999292016,1.000730038,581953866
8/6/2021,1.001553059,1.002151012,0.999854028,1.000527978,530126811
8/7/2021,1.001238942,1.002084017,0.99981302,1.001448989,578660249
8/8/2021,1.000138998,1.001551986,0.998758972,1.000844002,532106465
8/9/2021,1.00080204,1.00384295,0.999419987,1.000360012,662240256
8/10/2021,1.000509024,1.001840949,0.999177992,1.001080036,480354477
8/11/2021,1.000566006,1.001801968,0.999530017,1.000663042,453931546
8/12/2021,1.001461029,1.00187695,0.999807,1.000491023,532072423
8/13/2021,1.001850963,1.008653998,0.999553978,1.001360059,412968231
8/14/2021,1.001116991,1.001963973,0.999843001,1.001842976,392951236
8/15/2021,1.00146699,1.002992988,0.999135971,1.000980973,442135260
8/16/2021,1.000357985,1.001813054,0.999553025,1.001618981,441299032
8/17/2021,1.000049949,1.001659989,0.999478996,1.000174046,568975430
8/18/2021,1.000306964,1.00156796,0.999597013,1.000100017,545551935
8/19/2021,1.001374006,1.002326965,0.999723017,1.000144005,413479889
8/20/2021,1.001294971,1.00178802,0.999556005,1.001404047,496005267
8/21/2021,1.00030005,1.00148499,0.999657989,1.001446962,412285189
8/22/2021,1.001343966,1.001500964,0.99971199,1.000319958,372642719
8/23/2021,1.001062036,1.002099037,1.000308037,1.001312971,452402053
8/24/2021,1.000638008,1.002192974,0.999417007,1.001059055,514890715
8/25/2021,1.001198053,1.002058983,0.999714971,1.000507951,401292076
8/26/2021,1.000156999,1.002809048,0.999539971,1.00118196,399519566
8/27/2021,1.001232982,1.00168395,0.999759972,1.000216961,373515978
8/28/2021,1.000589967,1.001667976,0.999791026,1.001180053,288339124
8/29/2021,1.000928998,1.001881003,0.999153018,1.000748992,343680972
8/30/2021,1.000529051,1.001569986,0.999603987,1.000934005,408142352
8/31/2021,1.00068295,1.00166595,0.999957979,1.000579,528007417
9/1/2021,1.001651049,1.002071023,1.000159979,1.000712991,634547487
9/2/2021,1.000130057,1.00166297,0.999466002,1.00166297,508038352
9/3/2021,1.000058055,1.001515985,0.999413013,1.00008297,485395132
9/4/2021,1.000247002,1.001137972,0.999576986,1.000059962,368789401
9/5/2021,1.000357032,1.000625014,0.999575019,1.000066042,338207646
9/6/2021,1.000200987,1.001019955,0.999535024,1.000224948,406644063
9/7/2021,1.000187993,1.001361012,0.99447298,1.000221014,912796953
9/8/2021,1.000269055,1.001324058,0.998645008,1.000108004,669447321
9/9/2021,1.000280976,1.001451969,0.999634027,1.000087976,434654009
9/10/2021,0.999526024,1.001096964,0.998147011,1.00027597,428638272
9/11/2021,1.000347972,1.000658989,0.999017,0.999593973,312205584
9/12/2021,1.000126004,1.001418948,0.999125004,1.00029099,328308075
9/13/2021,1.000154972,1.001734018,0.998548985,1.000062943,462579764
9/14/2021,1.000586987,1.001660943,0.999566019,1.000120044,354110476
9/15/2021,1.001441002,1.00168705,0.99991101,1.000529051,335822682
9/16/2021,1.000272036,1.001806021,0.999072015,1.001806021,402994656
9/17/2021,0.999599993,1.000702977,0.999354005,1.000450969,385848770
9/18/2021,0.999288976,1.001335979,0.998740971,0.999695003,298712688
9/19/2021,1.000094056,1.001749039,0.997726023,0.999383986,309714536
9/20/2021,1.000048041,1.000602961,0.999036014,1.000231981,624484410
9/21/2021,0.999875009,1.001111031,0.998709023,0.99971801,729812381
9/22/2021,1.000745058,1.001656055,0.999274015,1.000288963,514284288
9/23/2021,1.000749946,1.001700044,1.000074983,1.000862002,375894392
9/24/2021,1.001227975,1.001528978,0.997430027,1.000615001,508298267
9/25/2021,1.001052976,1.002060056,0.999477029,1.001216054,383909774
9/26/2021,1.001014948,1.002315998,0.999610007,1.001019001,413054869
9/27/2021,0.999792993,1.001893044,0.999027014,1.000882983,430338505
9/28/2021,0.999244988,1.001338005,0.998556018,0.999786973,458057055
9/29/2021,1.000761986,1.006029963,0.99841398,0.999454975,476616453
9/30/2021,1.000800967,1.001561999,0.998863995,1.000756979,559233196
10/1/2021,1.000386,1.001767993,0.998785019,1.000813007,499588273
10/2/2021,1.001211047,1.001713991,1.000146031,1.000432968,313143929
10/3/2021,1.00019598,1.001515985,0.999706984,1.001041055,310410708
10/4/2021,0.999948025,1.001865029,0.999303997,1.000188947,448660469
10/5/2021,1.001134992,1.001700997,0.998815,0.999879003,391541823
10/6/2021,1.000784993,1.001320958,0.999180019,1.000846028,434803633
10/7/2021,1.000270009,1.001598954,0.999170005,1.000588059,463726069
10/8/2021,0.999948025,1.001366019,0.999082029,1.000283957,339851985
10/9/2021,1.000903964,1.001014948,0.999526024,1.000105977,269312663
10/10/2021,1.000336051,1.001160979,0.999270022,1.000746965,362865687
10/11/2021,1.000540018,1.001482964,0.999512017,1.000385046,460107456
10/12/2021,1.000136018,1.000844002,0.999346018,1.000692964,421133105
10/13/2021,1.001021981,1.00119102,0.999202013,1.000159025,409555634
10/14/2021,1.000556946,1.001615047,0.999188006,1.001014948,520905069
10/15/2021,1.000116944,1.001798987,0.999031007,1.000442028,1204418606
10/16/2021,1.00000596,1.000892043,0.998485029,1.00011301,488229736
10/17/2021,1.000190973,1.000591993,0.998727024,0.999915004,510810007
10/18/2021,0.999594986,1.001101971,0.998658001,1.000182033,550697217
10/19/2021,0.999963999,1.000357032,0.998772025,0.999544978,469428001
10/20/2021,0.999760985,1.003600001,0.996999979,0.999925971,628295768
10/21/2021,0.999626994,1.000653982,0.998842001,0.999836028,752413163
10/22/2021,0.999535024,1.000605941,0.998791993,0.999577999,631536339
10/23/2021,1.001606941,1.001606941,0.999252021,0.999547005,566684264
10/24/2021,0.999944985,1.001649022,0.998529017,1.00157702,513381214
10/25/2021,1.000012994,1.001925945,0.999193013,0.999948978,502632533
10/26/2021,1.000128984,1.001224041,0.999697983,0.999994993,832142999
10/27/2021,1.000228047,1.001530051,0.998317003,1.000197053,953507480
10/28/2021,1.000918031,1.004058003,0.999372005,1.000041962,1323943225
10/29/2021,1.000010967,1.001718998,0.999463975,1.00099504,1024429214
10/30/2021,1.000475049,1.002102017,0.99919498,1.000035048,815778190
10/31/2021,0.999900997,1.000988007,0.998836994,1.000653028,860683891
11/1/2021,1.000939012,1.001724005,0.999137998,0.999790013,867659185
11/2/2021,1.001309991,1.001664042,0.99950403,1.000864029,1029880030
11/3/2021,1.000818968,1.001642942,0.999876976,1.001410007,1151506611
11/4/2021,1.000080943,1.00148797,0.999487996,1.000890017,1017451212
11/5/2021,1.001021028,1.001175046,0.999733984,1.000064969,788456036
11/6/2021,1.001157045,1.001294971,0.999377012,1.001009941,780800285
11/7/2021,1.001762986,1.00226295,0.999962986,1.001330018,698371098
11/8/2021,1.00148797,1.002554059,1.000000954,1.001675963,873622180
11/9/2021,0.999490976,1.001685023,0.999035001,1.001474977,676649051
11/10/2021,0.987753987,1.01975596,0.984574974,0.999521017,1520836978
11/11/2021,1.005354047,1.00651896,0.988117993,0.988117993,785842413
11/12/2021,1.001870036,1.012395024,0.995989025,1.005246997,659178404
11/13/2021,1.001348972,1.004070997,0.997954011,1.002617955,276331692
11/14/2021,1.000728965,1.002395988,0.996590972,1.00127995,477655571
11/15/2021,1.000159979,1.006484032,0.995456994,1.000712037,514044279
11/16/2021,1.001155972,3.668397903,0.991002023,1.000895977,1141188827
11/17/2021,1.003069997,1.500808954,0.995814979,1.000933051,878428380
11/18/2021,0.996456027,1.006986976,0.993740022,1.003211021,898703950
11/19/2021,1.004832983,1.005455017,0.996146977,0.996523023,601674071
11/20/2021,1.00740695,1.008885026,1.001569986,1.004778981,537640438
11/21/2021,0.996936977,1.007954001,0.996936977,1.007758021,618943781
11/22/2021,0.996703029,1.004539013,0.990414977,0.996770978,884064993
11/23/2021,1.00752604,1.008893967,0.996496022,0.996699989,704286294
11/24/2021,1.004729033,1.009361029,0.997994006,1.007552981,777383225
11/25/2021,1.001664042,1.005216956,0.999701023,1.000360966,657317452
11/26/2021,0.999201,1.005022049,0.991618991,1.004083991,1009869669
11/27/2021,1.000399947,1.003244042,0.998519003,0.999234021,426481175
11/28/2021,1.000517011,1.003695965,0.997990012,1.000378966,483503658
11/29/2021,1.004699945,1.005480051,0.999004006,1.000411034,578556874
11/30/2021,1.000211954,1.006438017,0.997945011,1.004575968,869569979
12/1/2021,0.997985005,1.006114006,0.997394979,1.000004053,853667729
12/2/2021,0.997457981,1.000347018,0.995573997,0.997973979,736440089
12/3/2021,0.996616006,1.00384903,0.993188024,0.997947991,938776589
12/4/2021,1.000764966,1.002683043,0.986025989,0.99665302,1591611965
12/5/2021,0.999049008,1.005555987,0.994193971,1.000686049,868790845
12/6/2021,1.009840965,1.011149049,0.992457986,0.999231994,1131569722
12/7/2021,0.997268975,1.01048398,0.995657027,1.010391951,618461504
12/8/2021,1.000713944,1.003206015,0.994976997,0.997309983,687729167
12/9/2021,0.997309983,1.001593947,0.994717002,1.000303984,840893285
12/10/2021,0.998274982,1.004508972,0.99376303,0.997350991,1061901854
12/11/2021,1.002637029,1.009659052,0.993838012,0.998095989,704369795
12/12/2021,1.001978993,1.005314946,0.999285996,1.002524018,512574340
12/13/2021,0.998206019,1.002763033,0.989601016,1.002192974,808473625
12/14/2021,0.999450982,1.003553033,0.998080015,0.998080015,656429547
12/15/2021,0.997664988,1.010308027,0.994535029,1.001574993,848152264
12/16/2021,0.998421013,1.003314018,0.995808005,0.997759998,599130456
12/17/2021,0.995738983,0.999306023,0.989938021,0.998481989,776395626
12/18/2021,1.000874996,1.002228022,0.99118799,0.996205986,674232500
12/19/2021,0.999351978,1.003309965,0.997954011,1.000818968,517768581
12/20/2021,1.001571059,1.003887057,0.993016005,0.999123991,642367212
12/21/2021,1.004510045,1.007922053,1.001312017,1.001312017,524147706
12/22/2021,0.998874009,1.006713986,0.996082008,1.004493952,416382817
12/23/2021,1.004580021,1.005264044,0.996613026,0.998865008,557403282
12/24/2021,1.001566052,1.008461952,0.999965012,1.004623055,407749940
12/25/2021,1.002405047,1.005198002,0.99842602,1.001587033,312631573
12/26/2021,1.000759959,1.003829956,0.998080015,1.001922011,340364048
12/27/2021,0.999728978,1.002769947,0.998481989,1.000669956,318911724
12/28/2021,0.995607972,1.001042962,0.992049992,0.999777019,588448318
12/29/2021,0.996249974,1.000319004,0.992877007,0.995516002,334503584
12/30/2021,1.000632048,1.001245022,0.995243013,0.996083021,357182462
12/31/2021,0.999080002,1.001062989,0.997789979,1.000620008,384478346
1/1/2022,0.999858975,1.000367999,0.998549998,0.999095976,369649923
1/2/2022,1.000422001,1.000887036,0.998461008,0.999867976,307504088
1/3/2022,0.999749005,1.001168013,0.998063982,1.000422955,421211916
1/4/2022,0.999099016,1.000730991,0.99832201,0.999755025,449020349
1/5/2022,0.999930024,1.001021028,0.998084009,0.999139011,625153639
1/6/2022,0.999460995,1.001194,0.998404026,0.999903023,558399863
1/7/2022,0.999557972,1.000946045,0.997169971,0.999384999,640830173
1/8/2022,0.999674976,1.001379967,0.998690009,0.999541998,526473838
1/9/2022,0.999714017,1.001456022,0.998853981,0.999741971,329184018
1/10/2022,1.000316024,1.00147903,0.998274028,0.999741018,691978522
